Lambda,Idark(DI Lamp Off),Iblank (DI Lamp On),"Ikn (Nitrate = 45, Salinity = 33.885)","Izn (Zero Nitrate, Salinity= 36.052)","Ich (DI Water,  Salinity = 0 ,Nitrate = 45)","Its (Tank Water, first week sampled)", A(zn),A(kn),ESW(T1ZNTcal),ASW(T1ZNTis),ASW(T2KNTcal),ESW(T1ZNTis),ASE(TcalZN),,,,,,,,,S1(ZNcal),S2(KNcal),S(TS),T1(ZNcal),T2(KNcal),T(TS),S(Norm),Known NO3-
221.873,2698.375,15440,11152.125,13571.25,12024.625,11207.5,0.068880424,0.178175419,0.004942178,,,,,,,,,,,,,,,,,,,,
222.416,2632.875,15700.875,11594.875,14007.75,12385.5,11627.125,0.060262493,0.163804186,0.004543553,,,,,,,,,,,,,,,,,,,,
222.959,3095.375,16594.5,12660.875,14997.625,13354,12592.5,0.054676551,0.149597943,0.004149505,,,,,,,,,,,,,,,,,,,,
223.502,2642.875,16538.875,12733.875,15060.25,13389.625,12599.5,0.048860009,0.138955599,0.00385431,,,,,,,,,,,,,,,,,,,,
224.045,2678,17080.75,13412.875,15694.875,13987.75,13215.5,0.043938688,0.127648431,0.003540675,,,,,,,,,,,,,,,,,,,,
224.588,2628.25,17621.25,14012.75,16251.75,14570.625,13790.75,0.041599845,0.11957458,0.003316725,,,,,,,,,,,,,,,,,,,,
225.131,2654.5,18222.5,14724.375,16973.75,15266.375,14442.375,0.036312551,0.110530051,0.003065851,,,,,,,,,,,,,,,,,,,,
225.674,2637.5,18850.5,15394.875,17651.875,15971.75,15098.25,0.033356124,0.104102061,0.002887553,,,,,,,,,,,,,,,,,,,,
226.217,2646.125,19606.5,16225.75,18407.5,16727.5,15884.125,0.031841348,0.096547673,0.002678012,,,,,,,,,,,,,,,,,,,,
226.76,2993.375,20602.375,17321.75,19398.5,17782.375,16883.625,0.03075515,0.089537754,0.002483572,,,,,,,,,,,,,,,,,,,,
227.303,2673.75,21225.75,17957.625,19997.75,18443.125,17471.125,0.029742561,0.084157258,0.00233433,,,,,,,,,,,,,,,,,,,,
227.846,2606.125,22006.875,18807.5,20785.5,19282.125,18205,0.028239571,0.078266645,0.002170938,,,,,,,,,,,,,,,,,,,,
228.389,2707.25,22994.25,19783.375,21757.75,20334.375,19212.5,0.027311451,0.074828504,0.002075572,,,,,,,,,,,,,,,,,,,,
228.932,2634.5,23773.375,20627.625,22567.375,21124.75,19992.5,0.025511927,0.069975274,0.001940954,,,,,,,,,,,,,,,,,,,,
229.475,2709.375,24692.625,21629.5,23518.375,22118.125,20907.125,0.023840689,0.065167898,0.001807608,,,,,,,,,,,,,,,,,,,,
230.018,2629.25,25497,22474.875,24270.375,22996.875,21761.875,0.023943602,0.061558655,0.001707496,,,,,,,,,,,,,,,,,,,,
230.561,2672,26407.75,23415.75,25152.625,23947.125,22635.875,0.023594578,0.058515689,0.001623091,,,,,,,,,,,,,,,,,,,,
231.104,2858.75,27343.875,24410.25,26114.375,24965,23614.25,0.02237431,0.055424823,0.001537358,,,,,,,,,,,,,,,,,,,,
231.647,2757.75,28025.25,25156.875,26756,25682.125,24291.75,0.022382701,0.052331221,0.001451548,,,,,,,,,,,,,,,,,,,,
232.19,2674.875,28535.5,25682.625,27276.25,26241.75,24861.125,0.021679636,0.050764867,0.001408101,,,,,,,,,,,,,,,,,,,,
232.733,2891,29313.75,26583.125,28036.75,27137.375,25720.25,0.021513422,0.047374,0.001314046,,,,,,,,,,,,,,,,,,,,
233.276,2804.75,29649.625,26983.125,28396.75,27557.125,26124,0.020757159,0.045434277,0.001260243,,,,,,,,,,,,,,,,,,,,
233.819,2674.75,29755.5,27186.75,28504.625,27705,26296.5,0.020538383,0.04328194,0.001200542,,,,,,,,,,,,,,,,,,,,
234.362,2625.5,29937.125,27397,28605,27936.75,26530,0.021716752,0.042395235,0.001175947,,,,,,,,,,,,,,,,,,,,
234.905,2649.625,30004.125,27544.375,28713.75,28108.25,26689.375,0.020985631,0.040921012,0.001135055,,,,,,,,,,,,,,,,,,,,
235.448,2629.25,29871.5,27519.375,28599.25,28057.25,26670,0.020771024,0.039215896,0.001087759,,,,,,,,,,,,,,,,,,,,
235.991,2706.625,29807.75,27515.375,28532.625,28023.625,26690.25,0.020930173,0.038382437,0.001064641,,,,,,,,,,,,,,,,,,,,
236.534,2662.875,29541.5,27334.625,28272.5,27869.25,26553,0.021003829,0.037207093,0.00103204,,,,,,,,,,,,,,,,,,,,
237.077,2679.5,29300.5,27168.375,28036.5,27674.625,26425.125,0.021126495,0.036255531,0.001005645,,,,,,,,,,,,,,,,,,,,
